x: -34.94388727124177	y: 35.0	 E: 20.000000000000057
x: -34.88830449880385	y: 34.95	 E: 5.684341886080802e-14
x: -34.75702018133717	y: -34.95	 E: 20.0
x: -34.75702018133674	y: 34.95	 E: 20.0
x: -34.61725543353178	y: 34.95	 E: 0.0
x: -34.61480991066226	y: -35.05	 E: 20.0
x: -34.614809910662245	y: 35.05	 E: 20.0
x: -34.474952092841605	y: 35.05	 E: 0.0
x: -34.3375200360891	y: 34.95	 E: 0.0
x: -34.33509427502098	y: 35.05	 E: 0.0
x: -34.19765233736776	y: 34.95	 E: 0.0
x: -34.19523645720324	y: -35.05	 E: 20.0
x: -34.19523645720035	y: 35.05	 E: 20.0
x: -34.05537863937971	y: 35.05	 E: 0.0
x: -33.91791693992508	y: 34.95	 E: 0.0
x: -33.915520821559085	y: 35.05	 E: 0.0
x: -33.77804924120373	y: 34.95	 E: 0.0
x: -33.775663003738444	y: 35.05	 E: 0.0
x: -33.6381815424824	y: 34.95	 E: 0.0
x: -33.635805185920134	y: -35.05	 E: 20.0
x: -33.63580518591782	y: 35.05	 E: 20.0
x: -33.49594736809718	y: 35.05	 E: 0.0
x: -33.35844614503971	y: 34.95	 E: 0.0
x: -33.35608955027654	y: 35.05	 E: 0.0
x: -33.218578446318375	y: 34.95	 E: 0.0
x: -33.21623173245591	y: 35.05	 E: 0.0
x: -33.078710747597164	y: -34.95	 E: 20.0
x: -33.07871074759703	y: 34.95	 E: 20.0
x: -33.076373914635276	y: 35.05	 E: 0.0
x: -32.9388430488757	y: 34.95	 E: 0.0
x: -32.798975350154905	y: -34.95	 E: 20.0
x: -32.79897535015435	y: 34.95	 E: 20.0
x: -32.659107651433764	y: -34.95	 E: 20.0
x: -32.659107651433004	y: 34.95	 E: 20.0
x: -32.51923995271263	y: -34.95	 E: 20.0
x: -32.51923995271167	y: 34.95	 E: 20.0
x: -32.516942643352735	y: 35.05	 E: 0.0
x: -32.379372253990326	y: 34.95	 E: 0.0
x: -32.23950455527037	y: -34.95000000000001	 E: 20.0
x: -32.23950455526898	y: 34.95	 E: 20.0
x: -32.09963685654923	y: -34.949999999999996	 E: 20.0
x: -32.09963685654765	y: 34.95	 E: 20.0
x: -31.959769157828095	y: -34.95	 E: 20.0
x: -31.9597691578263	y: 34.95	 E: 20.0
x: -31.957511372070208	y: 35.05	 E: 0.0
x: -31.819901459104965	y: 34.95	 E: 0.0
x: -31.817653554249574	y: 35.05	 E: 0.0
x: -31.680033760383626	y: 34.95	 E: 0.0
x: -31.677795736428937	y: 35.05	 E: 0.0
x: -31.540166061662276	y: 34.95	 E: 0.0
x: -31.537937918608307	y: 35.05	 E: 0.0
x: -31.400298362940944	y: 34.95	 E: 0.0
x: -31.398080100787674	y: 35.05	 E: 0.0
x: -31.260430664219598	y: 34.95	 E: 0.0
x: -31.25822228296704	y: 35.05	 E: 0.0
x: -31.120562965498255	y: 34.95	 E: 0.0
x: -31.11836446514641	y: 35.050000000000004	 E: 0.0
x: -30.98069526677692	y: 34.95	 E: 0.0
x: -30.97850664732219	y: 35.05	 E: 0.0
x: -30.838648829504677	y: -35.05	 E: 20.0
x: -30.838648829497963	y: 35.05	 E: 20.0
x: -30.698791011683756	y: -35.05	 E: 20.0
x: -30.698791011680488	y: 35.04999999999999	 E: 20.0
x: -30.558933193862998	y: 35.05	 E: 0.0
x: -30.42122447189476	y: -34.95	 E: 20.0
x: -30.42122447189155	y: 34.95	 E: 20.0
x: -30.41907537603875	y: 35.050000000000004	 E: 0.0
x: -30.281356773170216	y: 34.95	 E: 0.0
x: -30.279217558214498	y: 35.05	 E: 0.0
x: -30.13935974040009	y: -35.05	 E: 20.0
x: -30.139359740397015	y: 35.05	 E: 20.0
x: -30.001621375727527	y: 34.95	 E: 0.0
x: -29.861753677009634	y: -34.95	 E: 20.0
x: -29.86175367700619	y: 34.95	 E: 20.0
x: -29.85964410475528	y: 35.05	 E: 0.0
x: -29.721885978284845	y: 34.95	 E: 0.0
x: -29.71978628693104	y: 35.05	 E: 0.0
x: -29.579928469116425	y: -35.05	 E: 20.0
x: -29.579928469113554	y: 35.05	 E: 20.0
x: -29.44215058084217	y: 34.95	 E: 0.0
x: -29.302282882124576	y: -34.95	 E: 20.0
x: -29.30228288212082	y: 34.95	 E: 20.0
x: -29.30021283347182	y: 35.05	 E: 0.0
x: -29.16241518339949	y: 34.95	 E: 0.0
x: -29.16035501564759	y: 35.05	 E: 0.0
x: -29.02049719783275	y: -35.05	 E: 20.0
x: -29.020497197830185	y: 35.05	 E: 20.0
x: -28.882679785956807	y: 34.95	 E: 0.0
x: -28.742812087239315	y: -34.95	 E: 20.0
x: -28.742812087235464	y: 34.95	 E: 20.0
x: -28.74078156218855	y: 35.05	 E: 0.0
x: -28.602944388514118	y: 34.95	 E: 0.0
x: -28.600923744364316	y: 35.05	 E: 0.0
x: -28.46106592654908	y: -35.05	 E: 20.0
x: -28.461065926546908	y: 35.05	 E: 20.0
x: -28.323208991071443	y: 34.95	 E: 0.0
x: -28.183341292354065	y: -34.95	 E: 20.0
x: -28.1833412923501	y: 34.95	 E: 20.0
x: -28.18135029090528	y: 35.05	 E: 0.0
x: -28.043473593628754	y: 34.95	 E: 0.0
x: -28.041492473081046	y: 35.05	 E: 0.0
x: -27.90163465526541	y: -35.05	 E: 20.0
x: -27.901634655263642	y: 35.05	 E: 20.0
x: -27.76373819618608	y: 34.95	 E: 0.0
x: -27.62387049746881	y: -34.95	 E: 20.0
x: -27.623870497464736	y: 34.95	 E: 20.0
x: -27.621919019622005	y: 35.05	 E: 0.0
x: -27.48400279874339	y: 34.95	 E: 0.0
x: -27.48206120179777	y: 35.05	 E: 0.0
x: -27.342203383985254	y: -35.05	 E: 20.0
x: -27.342203383980184	y: 35.05	 E: 20.0
x: -27.204267401300715	y: 34.95	 E: 0.0
x: -27.064399702583298	y: -34.95	 E: 20.0
x: -27.064399702579372	y: 34.95	 E: 20.0
x: -26.924532003858715	y: -34.95	 E: 20.0
x: -26.924532003858026	y: 34.95	 E: 20.0
x: -26.92262993051416	y: 35.05	 E: 0.0
x: -26.782772112701643	y: -35.05	 E: 20.0
x: -26.782772112696563	y: 35.05	 E: 20.0
x: -26.64479660641535	y: 34.95	 E: 0.0
x: -26.50492890769777	y: -34.95	 E: 20.0
x: -26.50492890769401	y: 34.95	 E: 20.0
x: -26.365061208973206	y: -34.95	 E: 20.0
x: -26.365061208972662	y: 34.95	 E: 20.0
x: -26.36319865923052	y: 35.05	 E: 0.0
x: -26.223340841418054	y: -35.05	 E: 20.0
x: -26.223340841412934	y: 35.05	 E: 20.0
x: -26.085325811529987	y: 34.95	 E: 0.0
x: -25.945458112812265	y: -34.95	 E: 20.0
x: -25.945458112808645	y: 34.95	 E: 20.0
x: -25.805590414087686	y: -34.95	 E: 20.0
x: -25.8055904140873	y: 34.95	 E: 20.0
x: -25.80376738794689	y: 35.05	 E: 0.0
x: -25.66390957013444	y: -35.05	 E: 20.0
x: -25.663909570129302	y: 35.05	 E: 20.0
x: -25.525855016644623	y: 34.95	 E: 0.0
x: -25.385987317926745	y: -34.95	 E: 20.0
x: -25.38598731792328	y: 34.95	 E: 20.0
x: -25.24611961920224	y: -34.95	 E: 20.0
x: -25.246119619201934	y: 34.95	 E: 20.0
x: -25.244336116663334	y: 35.05	 E: 0.0
x: -25.104478298850974	y: -35.05	 E: 20.0
x: -25.104478298845784	y: 35.05	 E: 20.0
x: -24.966384221759256	y: 34.95	 E: 0.0
